#,Outlet Name,Website,X / Twitter,Facebook,Instagram,TikTok,YouTube,LinkedIn
15,Vreme,[vreme.com](https://www.vreme.com),[X](https://x.com/vrememagazin),[FB](https://www.facebook.com/VremeMagazin),[IG](https://www.instagram.com/vreme_magazin),,[YT](https://www.youtube.com/@VremeMagazin),[LI](https://www.linkedin.com/company/vreme)
16,KRIK,[krik.rs](https://www.krik.rs),[X](https://x.com/KRIKrs),[FB](https://www.facebook.com/KRIKrs),[IG](https://www.instagram.com/krik.rs),,[YT](https://www.youtube.com/@KRIKrs),[LI](https://www.linkedin.com/company/krik)
17,Insajder,[insajder.net](https://insajder.net),[X](https://x.com/insajder_net),[FB](https://www.facebook.com/Insajder),[IG](https://www.instagram.com/insajder.net),,[YT](https://www.youtube.com/@InsajderNet),[LI](https://www.linkedin.com/company/insajder)
18,Mondo,[mondo.rs](https://mondo.rs),[X](https://x.com/mondoRS),[FB](https://www.facebook.com/mondo.rs),[IG](https://www.instagram.com/mondo.rs),[TT](https://www.tiktok.com/@mondo.rs),[YT](https://www.youtube.com/@MondoPortal),[LI](https://www.linkedin.com/company/mondo)
19,Espreso,[espreso.co.rs](https://www.espreso.co.rs),[X](https://x.com/espresors),[FB](https://www.facebook.com/espresors),[IG](https://www.instagram.com/espreso.rs),[TT](https://www.tiktok.com/@espreso.rs),[YT](https://www.youtube.com/@EspresoTV),[LI](https://www.linkedin.com/company/espreso)
20,Happy TV,[happytv.rs](https://www.happytv.rs),[X](https://x.com/HappyTVSrbija),[FB](https://www.facebook.com/HappyTVSrbija),[IG](https://www.instagram.com/happy_tv),[TT](https://www.tiktok.com/@happytv),[YT](https://www.youtube.com/@HappyTVSrbija),
21,Pink TV,[pink.rs](https://www.pink.rs),[X](https://x.com/pinktv),[FB](https://www.facebook.com/PinkTV),[IG](https://www.instagram.com/pink.rs),,[YT](https://www.youtube.com/@PinkTV),[LI](https://www.linkedin.com/company/pink-media)
22,021.rs,[021.rs](https://www.021.rs),[X](https://x.com/021rs),[FB](https://www.facebook.com/021rs),[IG](https://www.instagram.com/021.rs),,[YT](https://www.youtube.com/@021rs),
23,Direktno.rs,[direktno.rs](https://direktno.rs),[X](https://x.com/direktno_rs),[FB](https://www.facebook.com/direktno.rs),[IG](https://www.instagram.com/direktno.rs),,[YT](https://www.youtube.com/@DirektnoRS),
24,Cenzolovka,[cenzolovka.rs](https://www.cenzolovka.rs),[X](https://x.com/cenzolovka),[FB](https://www.facebook.com/cenzolovka),,,[YT](https://www.youtube.com/@Cenzolovka),
25,Peščanik,[pescanik.net](https://pescanik.net),[X](https://x.com/Pescanik),[FB](https://www.facebook.com/Pescanik),,,,
26,Autonomija,[autonomija.info](https://www.autonomija.info),[X](https://x.com/autonomija_info),[FB](https://www.facebook.com/autonomija.info),,,,
27,eKapija,[ekapija.com](https://www.ekapija.com),[X](https://x.com/ekapija),[FB](https://www.facebook.com/eKapija),[IG](https://www.instagram.com/ekapija),,[YT](https://www.youtube.com/@eKapija),[LI](https://www.linkedin.com/company/ekapija)
28,Biznis.rs,[biznis.rs](https://biznis.rs),,[FB](https://www.facebook.com/biznis.rs),,,,
29,Sport Klub,[sportklub.rs](https://sportklub.rs),[X](https://x.com/SportKlubRS),[FB](https://www.facebook.com/SportKlubSrbija),[IG](https://www.instagram.com/sportklub),,[YT](https://www.youtube.com/@SportKlub),[LI](https://www.linkedin.com/company/sport-klub)
30,Mozzart Sport,[mozzartsport.com](https://mozzartsport.com),[X](https://x.com/MozzartSport),[FB](https://www.facebook.com/MozzartSport),[IG](https://www.instagram.com/mozzartsport),,[YT](https://www.youtube.com/@MozzartSport),
31,Sportske.net,[sportske.net](https://sportske.net),[X](https://x.com/sportskenet),[FB](https://www.facebook.com/sportske.net),[IG](https://www.instagram.com/sportske.net),,[YT](https://www.youtube.com/@SportskeNet),
32,BBC Serbian,[bbc.com/serbian](https://www.bbc.com/serbian),[X](https://x.com/bbcsrpski),[FB](https://www.facebook.com/bbcsrpski),[IG](https://www.instagram.com/bbcsrpski),,[YT](https://www.youtube.com/@bbcsrpski),
33,Radio Slobodna Evropa,[slobodnaevropa.org](https://www.slobodnaevropa.org),[X](https://x.com/RSE_Balkans),[FB](https://www.facebook.com/RadioSlobodnaEvropa),[IG](https://www.instagram.com/rsebalkans),,[YT](https://www.youtube.com/@RSEBalkans),
34,Vranjske Novine,[vranjske.co.rs](https://www.vranjske.co.rs),,,,,,
35,Subotica.com,[subotica.com](https://www.subotica.com),,[FB](https://www.facebook.com/suboticacom),,,,
36,Pancevac,[pancevac-online.rs](https://www.pancevac-online.rs),,[FB](https://www.facebook.com/pancevac),,,,
37,Naše Novine,[nasenovine.com](https://www.nasenovine.com),,[FB](https://www.facebook.com/nasenovine),,,,
38,Nedeljnik,[nedeljnik.rs](https://nedeljnik.rs),[X](https://x.com/nedeljnik),[FB](https://www.facebook.com/nedeljnik),[IG](https://www.instagram.com/nedeljnik.rs),,[YT](https://www.youtube.com/@Nedeljnik),[LI](https://www.linkedin.com/company/nedeljnik)
39,Nova Ekonomija,[novaekonomija.rs](https://novaekonomija.rs),,[FB](https://www.facebook.com/novaekonomija),,,,
40,Ekonomija Online,[ekonomija.rs](https://ekonomija.rs),,,,,,
41,Balkan Info,[balkaninfo.rs](https://balkaninfo.rs),[X](https://x.com/BalkanInfoTV),[FB](https://www.facebook.com/BalkanInfo),[IG](https://www.instagram.com/balkaninfo),,[YT](https://www.youtube.com/@BalkanInfo),
42,Tabloid.rs,[tabloid.rs](https://tabloid.rs),,[FB](https://www.facebook.com/Tabloid.rs),[IG](https://www.instagram.com/tabloid.rs),,,
43,Pravda.rs,[pravda.rs](https://pravda.rs),[X](https://x.com/pravdars),[FB](https://www.facebook.com/pravda.rs),,,[YT](https://www.youtube.com/@PravdaTV),
44,Objektiv,[objektiv.rs](https://objektiv.rs),[X](https://x.com/objektivrs),[FB](https://www.facebook.com/objektivrs),[IG](https://www.instagram.com/objektiv.rs),,[YT](https://www.youtube.com/@Objektiv),
45,Kragujevačke Novine,[kragujevacke.rs](https://kragujevacke.rs),,[FB](https://www.facebook.com/kragujevackenovine),,,,
46,Mašina,[masina.rs](https://masina.rs),[X](https://x.com/masinamedia),[FB](https://www.facebook.com/MasinaMagazin),[IG](https://www.instagram.com/masina.rs),,[YT](https://www.youtube.com/@MasinaMagazin),
47,Srpski Telegraf,[srpskitelegraph.rs](https://srpskitelegraph.rs),,[FB](https://www.facebook.com/SrpskiTelegraf),,,,
48,Argus (Beta),[argus.rs](https://argus.rs),,,,,,
49,Sandžak Press,[sandzakpress.net](https://sandzakpress.net),[X](https://x.com/sandzakpress),[FB](https://www.facebook.com/sandzakpress),[IG](https://www.instagram.com/sandzakpress),,,
,,,,,,,,
50,Južne vesti,[juznevesti.com](https://www.juznevesti.com),[@juznevesti](https://twitter.com/juznevesti),[FB](https://www.facebook.com/juznevesti),[IG](https://www.instagram.com/juznevesti),[TT](https://www.tiktok.com/@juznevesti),[YT](https://www.youtube.com/user/juznevesti),[LI](https://www.linkedin.com/company/ju%C5%BEne-vesti/)
51,Niške vesti,[niskevesti.rs](https://niskevesti.rs),[@NiskeVestiRS](https://twitter.com/NiskeVestiRS),[FB](https://www.facebook.com/niskevesti.rs),[IG](https://www.instagram.com/niskevesti.rs),,[YT](https://www.youtube.com/@niskevesti-rs),
52,Glas juga,[glasjuga.rs](https://www.glasjuga.rs),,[FB](https://www.facebook.com/glasjuga),,[TT](https://www.tiktok.com/@glas.juga),,
53,Gradski portal 018,[gradskiportal018.rs](https://gradskiportal018.rs),[@Portal018](https://twitter.com/Portal018),[FB](https://www.facebook.com/gradskiportal018),,[TT](https://www.tiktok.com/@gradskiportal018),,
54,Juzno.rs,[juzno.rs](https://www.juzno.rs),,[FB](https://www.facebook.com/juzno.rs),,,,
55,Niš TV,[nistv.rs](https://www.nistv.rs),,[FB](https://www.facebook.com/nistv),,,,
56,Belami,[belami.rs](https://www.belami.rs),,[FB](https://www.facebook.com/belami.rs),[IG](https://www.instagram.com/belami.rs),,,
57,Radio Banker,[radiobanker.rs](https://www.radiobanker.rs),,[FB](https://www.facebook.com/radiobanker),,,,
58,Portal Ramonda,[portalramonda.rs](https://www.portalramonda.rs),,[FB](https://www.facebook.com/portalramonda),,,,
59,TV Zona Plus,[tvzonaplus.rs](https://www.tvzonaplus.rs),,[FB](https://www.facebook.com/tvzonaplus),,,,
60,Naissus Info,[naissus.info](https://www.naissus.info),,[FB](https://www.facebook.com/naissusinfo),,,,
61,KCN Niš,[nis.kcnonline.rs](https://nis.kcnonline.rs),,[FB](https://www.facebook.com/kcnnis),,,,
62,Dabi,[dabi.rs](https://www.dabi.rs),,[FB](https://www.facebook.com/dabi.rs),,,,
63,Media Reform Center,[mediareform.rs](https://www.mediareform.rs),,[FB](https://www.facebook.com/mediareformcenter),,,,
64,Novinari Online,[novinarionline.rs](https://www.novinarionline.rs),,[FB](https://www.facebook.com/novinarionline),,,,
65,Jugmedia,[jugmedia.rs](https://www.jugmedia.rs),[@jugmedia](https://twitter.com/jugmedia),[FB](https://www.facebook.com/jugmedia),,,,
66,Objektivni,[objektivni.rs](https://www.objektivni.rs),,[FB](https://www.facebook.com/objektivni.rs),,,,
67,Radio Niš,[radionis.rs](https://www.radionis.rs),,[FB](https://www.facebook.com/radionis),,,,
68,Radio Glas,[radioglas.rs](https://www.radioglas.rs),,[FB](https://www.facebook.com/radioglas),,,,
69,NiMedia,[nimedia.rs](https://www.nimedia.rs),,[FB](https://www.facebook.com/nimedia.rs),,,,
70,Open Serbia,[openserbia.rs](https://www.openserbia.rs),,[FB](https://www.facebook.com/openserbia),,,,
71,Republika,[republika.rs](https://www.republika.rs),[@republikaonline](https://twitter.com/republikaonline),[FB](https://www.facebook.com/republikaonline),[IG](https://www.instagram.com/republikaonline),[TT](https://www.tiktok.com/@republikaonline),[YT](https://www.youtube.com/c/RepublikaOnline),[LI](https://www.linkedin.com/company/republika-rs/)
